epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1853.15,1.53214,0.93969,0.84219,0.54616,0.56094,0.61003,0.34083,1.41364,1.39121,0.8287,0.000162345,0.000162345,0.000162345
71,1874.71,1.59631,1.17086,0.83816,0.56291,0.56315,0.61163,0.33932,1.40755,1.38208,0.8276,0.000148596,0.000148596,0.000148596
72,1896.13,1.31924,0.94834,0.83941,0.56241,0.5413,0.61001,0.34272,1.39783,1.42954,0.8254,0.000134848,0.000134848,0.000134848
73,1917.79,1.39662,0.98663,0.83965,0.53752,0.54199,0.60945,0.34456,1.39947,1.46821,0.82487,0.000121099,0.000121099,0.000121099
74,1938.96,1.31271,1.00696,0.84716,0.49954,0.55201,0.60373,0.34001,1.41141,1.47459,0.82564,0.00010735,0.00010735,0.00010735
75,1960.32,1.33653,0.9486,0.8367,0.51877,0.54965,0.60477,0.34053,1.41374,1.48588,0.82602,9.36017e-05,9.36017e-05,9.36017e-05
76,1981.52,1.45229,1.05407,0.83805,0.53637,0.54051,0.60518,0.33913,1.4025,1.49303,0.82548,7.98531e-05,7.98531e-05,7.98531e-05
77,2002.99,1.34452,0.96741,0.84171,0.52229,0.54895,0.60495,0.34241,1.38371,1.48357,0.82444,6.61045e-05,6.61045e-05,6.61045e-05
78,2024.56,1.5053,1.02652,0.84164,0.52229,0.54895,0.60495,0.34241,1.38371,1.48357,0.82444,5.23559e-05,5.23559e-05,5.23559e-05
79,2046.23,1.30542,0.89877,0.83568,0.54194,0.53729,0.59628,0.33908,1.38972,1.49575,0.82389,3.86073e-05,3.86073e-05,3.86073e-05
80,2067.57,1.3768,0.96857,0.84221,0.51925,0.51486,0.596,0.33754,1.39179,1.50448,0.82368,2.48586e-05,2.48586e-05,2.48586e-05
